task,model,arm,seed,split,primary,summary
cluener,llama31_8b_base,hidden_budget,6101,test,71.33840427253601,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_budget_s6101/test/SUMMARY.json
cluener,llama31_8b_base,hidden_budget,6102,dev,72.65221878224975,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_budget_s6102/dev/SUMMARY.json
cluener,llama31_8b_base,hidden_budget,6102,test,70.01129214389418,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_budget_s6102/test/SUMMARY.json
cluener,llama31_8b_base,hidden_both,6100,dev,73.1048805815161,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_both_s6100/dev/SUMMARY.json
cluener,llama31_8b_base,hidden_both,6100,test,71.61614524234074,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_both_s6100/test/SUMMARY.json
cluener,llama31_8b_base,hidden_both,6101,dev,72.85861713106296,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_both_s6101/dev/SUMMARY.json
cluener,llama31_8b_base,hidden_both,6101,test,71.45656433703462,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_both_s6101/test/SUMMARY.json
cluener,llama31_8b_base,hidden_both,6102,dev,73.58684480986639,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_both_s6102/dev/SUMMARY.json
cluener,llama31_8b_base,hidden_both,6102,test,71.49959903769046,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_both_s6102/test/SUMMARY.json
wikisql,llama32_3b_base,base,,dev,1.171875,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_base/dev/SUMMARY.json
wikisql,llama32_3b_base,base,,test,0.87890625,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_base/test/SUMMARY.json
wikisql,llama32_3b_base,hidden,7100,dev,76.953125,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_s7100/dev/SUMMARY.json
wikisql,llama32_3b_base,hidden,7100,test,77.44140625,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_s7100/test/SUMMARY.json
wikisql,llama32_3b_base,hidden,7101,dev,77.734375,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_s7101/dev/SUMMARY.json
wikisql,llama32_3b_base,hidden,7101,test,75.78125,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_s7101/test/SUMMARY.json
wikisql,llama32_3b_base,hidden,7102,dev,76.953125,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_s7102/dev/SUMMARY.json
wikisql,llama32_3b_base,hidden,7102,test,77.1484375,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_s7102/test/SUMMARY.json
wikisql,llama32_3b_base,hidden_budget,7100,dev,76.5625,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_budget_s7100/dev/SUMMARY.json
wikisql,llama32_3b_base,hidden_budget,7100,test,77.734375,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_budget_s7100/test/SUMMARY.json
wikisql,llama32_3b_base,hidden_budget,7101,dev,77.34375,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_budget_s7101/dev/SUMMARY.json
wikisql,llama32_3b_base,hidden_budget,7101,test,76.26953125,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_budget_s7101/test/SUMMARY.json
wikisql,llama32_3b_base,hidden_budget,7102,dev,77.34375,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_budget_s7102/dev/SUMMARY.json
wikisql,llama32_3b_base,hidden_budget,7102,test,76.7578125,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_budget_s7102/test/SUMMARY.json
wikisql,llama32_3b_base,hidden_both,7100,dev,78.125,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_both_s7100/dev/SUMMARY.json
wikisql,llama32_3b_base,hidden_both,7100,test,77.9296875,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_both_s7100/test/SUMMARY.json
wikisql,llama32_3b_base,hidden_both,7101,dev,80.859375,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_both_s7101/dev/SUMMARY.json
wikisql,llama32_3b_base,hidden_both,7101,test,78.125,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_both_s7101/test/SUMMARY.json
wikisql,llama32_3b_base,hidden_both,7102,dev,78.125,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_both_s7102/dev/SUMMARY.json
wikisql,llama32_3b_base,hidden_both,7102,test,76.66015625,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama32_3b_base_hidden_both_s7102/test/SUMMARY.json
wikisql,llama31_8b_base,base,,dev,17.1875,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_base/dev/SUMMARY.json
wikisql,llama31_8b_base,base,,test,15.8203125,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_base/test/SUMMARY.json
wikisql,llama31_8b_base,hidden,7100,dev,80.078125,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_s7100/dev/SUMMARY.json
wikisql,llama31_8b_base,hidden,7100,test,81.0546875,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_s7100/test/SUMMARY.json
wikisql,llama31_8b_base,hidden,7101,dev,83.59375,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_s7101/dev/SUMMARY.json
wikisql,llama31_8b_base,hidden,7101,test,82.2265625,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_s7101/test/SUMMARY.json
wikisql,llama31_8b_base,hidden,7102,dev,81.640625,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_s7102/dev/SUMMARY.json
wikisql,llama31_8b_base,hidden,7102,test,79.296875,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_s7102/test/SUMMARY.json
wikisql,llama31_8b_base,hidden_budget,7100,dev,79.6875,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_budget_s7100/dev/SUMMARY.json
wikisql,llama31_8b_base,hidden_budget,7100,test,81.54296875,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_budget_s7100/test/SUMMARY.json
wikisql,llama31_8b_base,hidden_budget,7101,dev,82.8125,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_budget_s7101/dev/SUMMARY.json
wikisql,llama31_8b_base,hidden_budget,7101,test,81.0546875,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_budget_s7101/test/SUMMARY.json
wikisql,llama31_8b_base,hidden_budget,7102,dev,81.640625,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_budget_s7102/dev/SUMMARY.json
wikisql,llama31_8b_base,hidden_budget,7102,test,80.17578125,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_budget_s7102/test/SUMMARY.json
wikisql,llama31_8b_base,hidden_both,7100,dev,81.25,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_both_s7100/dev/SUMMARY.json
wikisql,llama31_8b_base,hidden_both,7100,test,81.0546875,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_both_s7100/test/SUMMARY.json
wikisql,llama31_8b_base,hidden_both,7101,dev,81.25,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_both_s7101/dev/SUMMARY.json
wikisql,llama31_8b_base,hidden_both,7101,test,80.46875,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_both_s7101/test/SUMMARY.json
wikisql,llama31_8b_base,hidden_both,7102,dev,83.984375,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_both_s7102/dev/SUMMARY.json
wikisql,llama31_8b_base,hidden_both,7102,test,80.37109375,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/wikisql_llama31_8b_base_hidden_both_s7102/test/SUMMARY.json
