split,model,control,code,label,train_unique_support,dev_unique_support,test_unique_support,control_correct,stack_correct,recovered,regressed,net_correct_over_three_seeds
dev,qwen25_7b_base,hidden,07,ENTY:body,13,3,2,4,5,2,1,1
dev,qwen25_7b_base,hidden,08,ENTY:color,33,7,10,21,21,0,0,0
dev,qwen25_7b_base,hidden,09,ENTY:cremat,73,7,0,20,19,0,1,-1
dev,qwen25_7b_base,hidden,10,ENTY:currency,4,0,6,0,0,0,0,0
dev,qwen25_7b_base,hidden,11,ENTY:dismed,73,7,2,15,15,0,0,0
dev,qwen25_7b_base,hidden,12,ENTY:event,48,7,2,15,15,0,0,0
dev,qwen25_7b_base,hidden,13,ENTY:food,73,7,4,18,18,0,0,0
dev,qwen25_7b_base,hidden,14,ENTY:instru,8,1,1,3,3,0,0,0
dev,qwen25_7b_base,hidden,15,ENTY:lang,13,3,2,9,9,0,0,0
dev,qwen25_7b_base,hidden,16,ENTY:letter,8,1,0,3,3,0,0,0
dev,qwen25_7b_base,hidden,17,ENTY:other,73,7,12,10,8,2,4,-2
dev,qwen25_7b_base,hidden,18,ENTY:plant,11,2,5,4,5,1,0,1
dev,qwen25_7b_base,hidden,19,ENTY:product,34,7,4,12,13,1,0,1
dev,qwen25_7b_base,hidden,20,ENTY:religion,4,0,0,0,0,0,0,0
dev,qwen25_7b_base,hidden,21,ENTY:sport,55,7,1,16,17,1,0,1
dev,qwen25_7b_base,hidden,22,ENTY:substance,34,7,15,18,19,2,1,1
dev,qwen25_7b_base,hidden,23,ENTY:symbol,9,2,0,3,3,0,0,0
dev,qwen25_7b_base,hidden,24,ENTY:techmeth,31,7,1,6,8,4,2,2
dev,qwen25_7b_base,hidden,25,ENTY:termeq,73,7,7,20,20,0,0,0
dev,qwen25_7b_base,hidden,26,ENTY:veh,22,5,4,15,14,0,1,-1
dev,qwen25_7b_base,hidden,27,ENTY:word,21,5,0,12,12,0,0,0
dev,qwen25_7b_base,hidden,28,HUM:desc,39,7,3,17,19,2,0,2
dev,qwen25_7b_base,hidden,29,HUM:gr,73,7,6,17,16,1,2,-1
dev,qwen25_7b_base,hidden,30,HUM:ind,73,7,55,21,19,0,2,-2
dev,qwen25_7b_base,hidden,31,HUM:title,20,5,1,14,15,1,0,1
dev,qwen25_7b_base,hidden,32,LOC:city,73,7,18,21,21,0,0,0
dev,qwen25_7b_base,hidden,33,LOC:country,73,7,3,21,21,0,0,0
dev,qwen25_7b_base,hidden,34,LOC:mount,17,4,3,9,9,0,0,0
dev,qwen25_7b_base,hidden,35,LOC:other,73,7,50,19,19,1,1,0
dev,qwen25_7b_base,hidden,36,LOC:state,59,7,7,21,21,0,0,0
dev,qwen25_7b_base,hidden,37,NUM:code,4,1,0,3,3,0,0,0
dev,qwen25_7b_base,hidden,38,NUM:count,73,7,9,21,21,0,0,0
dev,qwen25_7b_base,hidden,39,NUM:date,73,7,47,18,18,0,0,0
dev,qwen25_7b_base,hidden,40,NUM:dist,25,6,16,12,14,2,0,2
dev,qwen25_7b_base,hidden,41,NUM:money,60,7,3,21,21,0,0,0
dev,qwen25_7b_base,hidden,42,NUM:ord,3,0,0,0,0,0,0,0
dev,qwen25_7b_base,hidden,43,NUM:other,35,7,12,5,8,4,1,3
dev,qwen25_7b_base,hidden,44,NUM:perc,19,4,3,12,12,0,0,0
dev,qwen25_7b_base,hidden,45,NUM:period,67,7,8,21,21,0,0,0
dev,qwen25_7b_base,hidden,46,NUM:speed,6,1,6,3,3,0,0,0
dev,qwen25_7b_base,hidden,47,NUM:temp,7,1,5,3,3,0,0,0
dev,qwen25_7b_base,hidden,48,NUM:volsize,11,2,0,6,6,0,0,0
dev,qwen25_7b_base,hidden,49,NUM:weight,9,2,4,4,4,0,0,0
dev,qwen25_7b_base,hidden_budget,00,ABBR:abb,13,3,1,4,3,0,1,-1
dev,qwen25_7b_base,hidden_budget,01,ABBR:exp,60,8,8,22,24,2,0,2
dev,qwen25_7b_base,hidden_budget,02,DESC:def,74,8,123,22,22,1,1,0
dev,qwen25_7b_base,hidden_budget,03,DESC:desc,74,7,7,17,17,3,3,0
dev,qwen25_7b_base,hidden_budget,04,DESC:manner,74,7,2,21,21,0,0,0
dev,qwen25_7b_base,hidden_budget,05,DESC:reason,74,7,6,18,18,0,0,0
dev,qwen25_7b_base,hidden_budget,06,ENTY:animal,74,7,16,18,18,0,0,0
dev,qwen25_7b_base,hidden_budget,07,ENTY:body,13,3,2,5,5,1,1,0
dev,qwen25_7b_base,hidden_budget,08,ENTY:color,33,7,10,21,21,0,0,0
dev,qwen25_7b_base,hidden_budget,09,ENTY:cremat,73,7,0,19,19,1,1,0
dev,qwen25_7b_base,hidden_budget,10,ENTY:currency,4,0,6,0,0,0,0,0
dev,qwen25_7b_base,hidden_budget,11,ENTY:dismed,73,7,2,15,15,0,0,0
dev,qwen25_7b_base,hidden_budget,12,ENTY:event,48,7,2,15,15,0,0,0
dev,qwen25_7b_base,hidden_budget,13,ENTY:food,73,7,4,18,18,0,0,0
dev,qwen25_7b_base,hidden_budget,14,ENTY:instru,8,1,1,3,3,0,0,0
dev,qwen25_7b_base,hidden_budget,15,ENTY:lang,13,3,2,9,9,0,0,0
dev,qwen25_7b_base,hidden_budget,16,ENTY:letter,8,1,0,3,3,0,0,0
dev,qwen25_7b_base,hidden_budget,17,ENTY:other,73,7,12,11,8,1,4,-3
dev,qwen25_7b_base,hidden_budget,18,ENTY:plant,11,2,5,4,5,1,0,1
dev,qwen25_7b_base,hidden_budget,19,ENTY:product,34,7,4,13,13,0,0,0
dev,qwen25_7b_base,hidden_budget,20,ENTY:religion,4,0,0,0,0,0,0,0
dev,qwen25_7b_base,hidden_budget,21,ENTY:sport,55,7,1,17,17,0,0,0
dev,qwen25_7b_base,hidden_budget,22,ENTY:substance,34,7,15,18,19,1,0,1
dev,qwen25_7b_base,hidden_budget,23,ENTY:symbol,9,2,0,4,3,0,1,-1
dev,qwen25_7b_base,hidden_budget,24,ENTY:techmeth,31,7,1,3,8,5,0,5
dev,qwen25_7b_base,hidden_budget,25,ENTY:termeq,73,7,7,19,20,1,0,1
dev,qwen25_7b_base,hidden_budget,26,ENTY:veh,22,5,4,14,14,0,0,0
dev,qwen25_7b_base,hidden_budget,27,ENTY:word,21,5,0,12,12,0,0,0
dev,qwen25_7b_base,hidden_budget,28,HUM:desc,39,7,3,19,19,0,0,0
dev,qwen25_7b_base,hidden_budget,29,HUM:gr,73,7,6,16,16,2,2,0
dev,qwen25_7b_base,hidden_budget,30,HUM:ind,73,7,55,20,19,0,1,-1
dev,qwen25_7b_base,hidden_budget,31,HUM:title,20,5,1,15,15,0,0,0
dev,qwen25_7b_base,hidden_budget,32,LOC:city,73,7,18,21,21,0,0,0
dev,qwen25_7b_base,hidden_budget,33,LOC:country,73,7,3,21,21,0,0,0
dev,qwen25_7b_base,hidden_budget,34,LOC:mount,17,4,3,9,9,0,0,0
dev,qwen25_7b_base,hidden_budget,35,LOC:other,73,7,50,19,19,1,1,0
dev,qwen25_7b_base,hidden_budget,36,LOC:state,59,7,7,21,21,0,0,0
dev,qwen25_7b_base,hidden_budget,37,NUM:code,4,1,0,3,3,0,0,0
dev,qwen25_7b_base,hidden_budget,38,NUM:count,73,7,9,21,21,0,0,0
dev,qwen25_7b_base,hidden_budget,39,NUM:date,73,7,47,18,18,0,0,0
dev,qwen25_7b_base,hidden_budget,40,NUM:dist,25,6,16,13,14,1,0,1
dev,qwen25_7b_base,hidden_budget,41,NUM:money,60,7,3,21,21,0,0,0
dev,qwen25_7b_base,hidden_budget,42,NUM:ord,3,0,0,0,0,0,0,0
dev,qwen25_7b_base,hidden_budget,43,NUM:other,35,7,12,6,8,3,1,2
dev,qwen25_7b_base,hidden_budget,44,NUM:perc,19,4,3,12,12,0,0,0
dev,qwen25_7b_base,hidden_budget,45,NUM:period,67,7,8,21,21,0,0,0
dev,qwen25_7b_base,hidden_budget,46,NUM:speed,6,1,6,3,3,0,0,0
dev,qwen25_7b_base,hidden_budget,47,NUM:temp,7,1,5,3,3,0,0,0
dev,qwen25_7b_base,hidden_budget,48,NUM:volsize,11,2,0,6,6,0,0,0
dev,qwen25_7b_base,hidden_budget,49,NUM:weight,9,2,4,4,4,0,0,0
dev,qwen3_8b_base,hidden,00,ABBR:abb,13,3,1,6,6,0,0,0
dev,qwen3_8b_base,hidden,01,ABBR:exp,60,8,8,22,21,1,2,-1
dev,qwen3_8b_base,hidden,02,DESC:def,74,8,123,20,20,0,0,0
dev,qwen3_8b_base,hidden,03,DESC:desc,74,7,7,14,18,4,0,4
dev,qwen3_8b_base,hidden,04,DESC:manner,74,7,2,21,21,0,0,0
dev,qwen3_8b_base,hidden,05,DESC:reason,74,7,6,18,18,0,0,0
dev,qwen3_8b_base,hidden,06,ENTY:animal,74,7,16,21,21,0,0,0
dev,qwen3_8b_base,hidden,07,ENTY:body,13,3,2,6,6,0,0,0
dev,qwen3_8b_base,hidden,08,ENTY:color,33,7,10,21,21,0,0,0
dev,qwen3_8b_base,hidden,09,ENTY:cremat,73,7,0,15,16,2,1,1
dev,qwen3_8b_base,hidden,10,ENTY:currency,4,0,6,0,0,0,0,0
dev,qwen3_8b_base,hidden,11,ENTY:dismed,73,7,2,13,15,2,0,2
dev,qwen3_8b_base,hidden,12,ENTY:event,48,7,2,15,15,0,0,0
dev,qwen3_8b_base,hidden,13,ENTY:food,73,7,4,15,16,1,0,1
dev,qwen3_8b_base,hidden,14,ENTY:instru,8,1,1,3,3,0,0,0
dev,qwen3_8b_base,hidden,15,ENTY:lang,13,3,2,9,9,0,0,0
dev,qwen3_8b_base,hidden,16,ENTY:letter,8,1,0,3,3,0,0,0
dev,qwen3_8b_base,hidden,17,ENTY:other,73,7,12,5,6,1,0,1
dev,qwen3_8b_base,hidden,18,ENTY:plant,11,2,5,5,6,1,0,1
dev,qwen3_8b_base,hidden,19,ENTY:product,34,7,4,12,13,1,0,1
dev,qwen3_8b_base,hidden,20,ENTY:religion,4,0,0,0,0,0,0,0
dev,qwen3_8b_base,hidden,21,ENTY:sport,55,7,1,11,12,2,1,1
dev,qwen3_8b_base,hidden,22,ENTY:substance,34,7,15,18,17,0,1,-1
dev,qwen3_8b_base,hidden,23,ENTY:symbol,9,2,0,2,2,0,0,0
dev,qwen3_8b_base,hidden,24,ENTY:techmeth,31,7,1,0,2,2,0,2
dev,qwen3_8b_base,hidden,25,ENTY:termeq,73,7,7,17,16,0,1,-1
dev,qwen3_8b_base,hidden,26,ENTY:veh,22,5,4,12,11,0,1,-1
dev,qwen3_8b_base,hidden,27,ENTY:word,21,5,0,12,12,0,0,0
dev,qwen3_8b_base,hidden,28,HUM:desc,39,7,3,16,19,3,0,3
dev,qwen3_8b_base,hidden,29,HUM:gr,73,7,6,17,14,1,4,-3
dev,qwen3_8b_base,hidden,30,HUM:ind,73,7,55,17,17,1,1,0
dev,qwen3_8b_base,hidden,31,HUM:title,20,5,1,15,15,0,0,0
dev,qwen3_8b_base,hidden,32,LOC:city,73,7,18,21,21,0,0,0
dev,qwen3_8b_base,hidden,33,LOC:country,73,7,3,21,21,0,0,0
dev,qwen3_8b_base,hidden,34,LOC:mount,17,4,3,8,9,1,0,1
dev,qwen3_8b_base,hidden,35,LOC:other,73,7,50,19,20,1,0,1
dev,qwen3_8b_base,hidden,36,LOC:state,59,7,7,21,21,0,0,0
dev,qwen3_8b_base,hidden,37,NUM:code,4,1,0,3,3,0,0,0
dev,qwen3_8b_base,hidden,38,NUM:count,73,7,9,21,19,0,2,-2
dev,qwen3_8b_base,hidden,39,NUM:date,73,7,47,18,19,1,0,1
dev,qwen3_8b_base,hidden,40,NUM:dist,25,6,16,14,15,1,0,1
dev,qwen3_8b_base,hidden,41,NUM:money,60,7,3,21,21,0,0,0
dev,qwen3_8b_base,hidden,42,NUM:ord,3,0,0,0,0,0,0,0
dev,qwen3_8b_base,hidden,43,NUM:other,35,7,12,10,8,1,3,-2
dev,qwen3_8b_base,hidden,44,NUM:perc,19,4,3,12,12,0,0,0
dev,qwen3_8b_base,hidden,45,NUM:period,67,7,8,21,21,0,0,0
dev,qwen3_8b_base,hidden,46,NUM:speed,6,1,6,3,3,0,0,0
dev,qwen3_8b_base,hidden,47,NUM:temp,7,1,5,3,3,0,0,0
dev,qwen3_8b_base,hidden,48,NUM:volsize,11,2,0,6,6,0,0,0
dev,qwen3_8b_base,hidden,49,NUM:weight,9,2,4,6,6,0,0,0
dev,qwen3_8b_base,hidden_budget,00,ABBR:abb,13,3,1,6,6,0,0,0
dev,qwen3_8b_base,hidden_budget,01,ABBR:exp,60,8,8,20,21,2,1,1
dev,qwen3_8b_base,hidden_budget,02,DESC:def,74,8,123,21,20,0,1,-1
dev,qwen3_8b_base,hidden_budget,03,DESC:desc,74,7,7,16,18,2,0,2
dev,qwen3_8b_base,hidden_budget,04,DESC:manner,74,7,2,21,21,0,0,0
dev,qwen3_8b_base,hidden_budget,05,DESC:reason,74,7,6,18,18,0,0,0
dev,qwen3_8b_base,hidden_budget,06,ENTY:animal,74,7,16,20,21,1,0,1
dev,qwen3_8b_base,hidden_budget,07,ENTY:body,13,3,2,5,6,1,0,1
dev,qwen3_8b_base,hidden_budget,08,ENTY:color,33,7,10,21,21,0,0,0
dev,qwen3_8b_base,hidden_budget,09,ENTY:cremat,73,7,0,15,16,1,0,1
dev,qwen3_8b_base,hidden_budget,10,ENTY:currency,4,0,6,0,0,0,0,0
dev,qwen3_8b_base,hidden_budget,11,ENTY:dismed,73,7,2,14,15,1,0,1
dev,qwen3_8b_base,hidden_budget,12,ENTY:event,48,7,2,15,15,0,0,0
dev,qwen3_8b_base,hidden_budget,13,ENTY:food,73,7,4,15,16,1,0,1
dev,qwen3_8b_base,hidden_budget,14,ENTY:instru,8,1,1,3,3,0,0,0
dev,qwen3_8b_base,hidden_budget,15,ENTY:lang,13,3,2,9,9,0,0,0
dev,qwen3_8b_base,hidden_budget,16,ENTY:letter,8,1,0,3,3,0,0,0
dev,qwen3_8b_base,hidden_budget,17,ENTY:other,73,7,12,5,6,1,0,1
dev,qwen3_8b_base,hidden_budget,18,ENTY:plant,11,2,5,6,6,0,0,0
dev,qwen3_8b_base,hidden_budget,19,ENTY:product,34,7,4,13,13,2,2,0
dev,qwen3_8b_base,hidden_budget,20,ENTY:religion,4,0,0,0,0,0,0,0
dev,qwen3_8b_base,hidden_budget,21,ENTY:sport,55,7,1,12,12,3,3,0
dev,qwen3_8b_base,hidden_budget,22,ENTY:substance,34,7,15,18,17,0,1,-1
dev,qwen3_8b_base,hidden_budget,23,ENTY:symbol,9,2,0,3,2,0,1,-1
dev,qwen3_8b_base,hidden_budget,24,ENTY:techmeth,31,7,1,2,2,0,0,0
dev,qwen3_8b_base,hidden_budget,25,ENTY:termeq,73,7,7,14,16,2,0,2
dev,qwen3_8b_base,hidden_budget,26,ENTY:veh,22,5,4,9,11,2,0,2
dev,qwen3_8b_base,hidden_budget,27,ENTY:word,21,5,0,12,12,0,0,0
dev,qwen3_8b_base,hidden_budget,28,HUM:desc,39,7,3,16,19,3,0,3
dev,qwen3_8b_base,hidden_budget,29,HUM:gr,73,7,6,17,14,0,3,-3
dev,qwen3_8b_base,hidden_budget,30,HUM:ind,73,7,55,18,17,1,2,-1
dev,qwen3_8b_base,hidden_budget,31,HUM:title,20,5,1,15,15,0,0,0
dev,qwen3_8b_base,hidden_budget,32,LOC:city,73,7,18,21,21,0,0,0
dev,qwen3_8b_base,hidden_budget,33,LOC:country,73,7,3,21,21,0,0,0
dev,qwen3_8b_base,hidden_budget,34,LOC:mount,17,4,3,7,9,2,0,2
dev,qwen3_8b_base,hidden_budget,35,LOC:other,73,7,50,21,20,0,1,-1
dev,qwen3_8b_base,hidden_budget,36,LOC:state,59,7,7,21,21,0,0,0
dev,qwen3_8b_base,hidden_budget,37,NUM:code,4,1,0,3,3,0,0,0
dev,qwen3_8b_base,hidden_budget,38,NUM:count,73,7,9,20,19,0,1,-1
dev,qwen3_8b_base,hidden_budget,39,NUM:date,73,7,47,18,19,1,0,1
dev,qwen3_8b_base,hidden_budget,40,NUM:dist,25,6,16,14,15,1,0,1
dev,qwen3_8b_base,hidden_budget,41,NUM:money,60,7,3,21,21,0,0,0
dev,qwen3_8b_base,hidden_budget,42,NUM:ord,3,0,0,0,0,0,0,0
dev,qwen3_8b_base,hidden_budget,43,NUM:other,35,7,12,9,8,1,2,-1
dev,qwen3_8b_base,hidden_budget,44,NUM:perc,19,4,3,12,12,0,0,0
dev,qwen3_8b_base,hidden_budget,45,NUM:period,67,7,8,20,21,1,0,1
dev,qwen3_8b_base,hidden_budget,46,NUM:speed,6,1,6,3,3,0,0,0
dev,qwen3_8b_base,hidden_budget,47,NUM:temp,7,1,5,3,3,0,0,0
dev,qwen3_8b_base,hidden_budget,48,NUM:volsize,11,2,0,6,6,0,0,0
dev,qwen3_8b_base,hidden_budget,49,NUM:weight,9,2,4,6,6,0,0,0
test,qwen25_15b_base,hidden,00,ABBR:abb,13,3,1,3,3,0,0,0
test,qwen25_15b_base,hidden,01,ABBR:exp,60,8,8,20,19,1,2,-1
test,qwen25_15b_base,hidden,02,DESC:def,74,8,123,109,177,91,23,68
test,qwen25_15b_base,hidden,03,DESC:desc,74,7,7,8,7,1,2,-1
test,qwen25_15b_base,hidden,04,DESC:manner,74,7,2,6,6,0,0,0
test,qwen25_15b_base,hidden,05,DESC:reason,74,7,6,15,15,0,0,0
test,qwen25_15b_base,hidden,06,ENTY:animal,74,7,16,25,28,6,3,3
test,qwen25_15b_base,hidden,07,ENTY:body,13,3,2,5,6,1,0,1
test,qwen25_15b_base,hidden,08,ENTY:color,33,7,10,30,30,0,0,0
test,qwen25_15b_base,hidden,09,ENTY:cremat,73,7,0,0,0,0,0,0
test,qwen25_15b_base,hidden,10,ENTY:currency,4,0,6,15,15,0,0,0
test,qwen25_15b_base,hidden,11,ENTY:dismed,73,7,2,6,2,0,4,-4
test,qwen25_15b_base,hidden,12,ENTY:event,48,7,2,2,3,1,0,1
test,qwen25_15b_base,hidden,13,ENTY:food,73,7,4,9,9,0,0,0
test,qwen25_15b_base,hidden,14,ENTY:instru,8,1,1,3,3,0,0,0
test,qwen25_15b_base,hidden,15,ENTY:lang,13,3,2,6,6,0,0,0
