study,stage,model,task,method,placement,rank,bias,n,mean,reused,paired_five_seed_complete,seed_scores,source
boundary_lora_comparison_20260922,common,qwen25_7b_base,wikisql,affine,eu,16,True,5,82.12890625,5,True,"{""7100"": 82.6171875, ""7101"": 82.8125, ""7102"": 81.8359375, ""7103"": 82.03125, ""7104"": 81.34765625}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,wikisql,affine,eu,8,True,3,82.12890625,3,False,"{""7100"": 82.03125, ""7101"": 82.51953125, ""7102"": 81.8359375}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,cluener,none,none,0,False,5,70.62503768000354,3,True,"{""6100"": 70.52563689132538, ""6101"": 71.09311740890688, ""6102"": 70.24249237192869, ""6103"": 71.42624286878565, ""6104"": 69.83769885907118}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,cluener,affine,e,16,True,5,70.95573517123512,3,True,"{""6100"": 71.58232931726907, ""6101"": 70.07861382961656, ""6102"": 70.87222401029932, ""6103"": 71.07491856677524, ""6104"": 71.17059013221541}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,cluener,affine,e,8,True,3,70.61927815424862,3,False,"{""6100"": 71.35694646611677, ""6101"": 70.06287280348218, ""6102"": 70.43801519314692}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,cluener,affine,u,16,False,5,71.95427429101579,3,True,"{""6100"": 72.49432371067142, ""6101"": 71.41479099678456, ""6102"": 71.04544724586478, ""6103"": 71.89542483660131, ""6104"": 72.9213846651569}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,cluener,affine,u,8,False,3,71.34165951007581,3,False,"{""6100"": 71.67015622483491, ""6101"": 71.15198451113262, ""6102"": 71.20283779425992}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,cluener,affine,eu,16,True,5,72.15842712190053,3,True,"{""6100"": 72.3589001447178, ""6101"": 71.82712465731333, ""6102"": 71.74052665382145, ""6103"": 71.94010416666667, ""6104"": 72.9254799869834}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,cluener,affine,eu,8,True,3,71.58524980769003,3,False,"{""6100"": 72.26863753213368, ""6101"": 71.44464084846537, ""6102"": 71.04247104247104}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,wikisql,none,none,0,False,5,83.14453125,3,True,"{""7100"": 82.91015625, ""7101"": 82.91015625, ""7102"": 83.59375, ""7103"": 83.10546875, ""7104"": 83.203125}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,wikisql,affine,e,16,True,5,83.359375,3,True,"{""7100"": 82.8125, ""7101"": 82.91015625, ""7102"": 83.49609375, ""7103"": 84.1796875, ""7104"": 83.3984375}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,wikisql,affine,e,8,True,3,83.04036458333333,3,False,"{""7100"": 82.2265625, ""7101"": 83.203125, ""7102"": 83.69140625}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,wikisql,affine,u,16,False,5,83.96484375,3,True,"{""7100"": 82.2265625, ""7101"": 83.984375, ""7102"": 84.47265625, ""7103"": 84.47265625, ""7104"": 84.66796875}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,wikisql,affine,u,8,False,3,83.36588541666667,3,False,"{""7100"": 81.8359375, ""7101"": 83.59375, ""7102"": 84.66796875}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,wikisql,affine,eu,16,True,5,84.1015625,3,True,"{""7100"": 83.10546875, ""7101"": 83.59375, ""7102"": 83.984375, ""7103"": 85.546875, ""7104"": 84.27734375}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,wikisql,affine,eu,8,True,3,83.65885416666667,3,False,"{""7100"": 82.91015625, ""7101"": 83.69140625, ""7102"": 84.375}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,llama31_8b_base,cluener,none,none,0,False,5,70.71128139698413,3,True,"{""6100"": 70.42707493956486, ""6101"": 71.03258226616956, ""6102"": 69.72536348949919, ""6103"": 71.3272877164056, ""6104"": 71.04409857328146}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,llama31_8b_base,cluener,affine,eu,16,True,5,71.80689747824691,3,True,"{""6100"": 71.61614524234074, ""6101"": 71.45656433703462, ""6102"": 71.49959903769046, ""6103"": 72.40928407976463, ""6104"": 72.05289469440413}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,llama31_8b_base,wikisql,none,none,0,False,5,80.859375,3,True,"{""7100"": 81.0546875, ""7101"": 82.2265625, ""7102"": 79.296875, ""7103"": 80.95703125, ""7104"": 80.76171875}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,llama31_8b_base,wikisql,affine,eu,16,True,5,80.99609375,3,True,"{""7100"": 81.0546875, ""7101"": 80.46875, ""7102"": 80.37109375, ""7103"": 81.8359375, ""7104"": 81.25}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_15b_base,cluener,none,none,0,False,5,59.17261475217774,5,True,"{""6100"": 59.159397303727204, ""6101"": 58.995750039351485, ""6102"": 58.84991190132949, ""6103"": 59.527255185721174, ""6104"": 59.33075933075933}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_15b_base,cluener,affine,shared,16,True,5,61.86051776512388,3,True,"{""6100"": 62.035132141161576, ""6101"": 62.13065005590161, ""6102"": 61.00459515132309, ""6103"": 62.31578947368421, ""6104"": 61.81642200354896}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_15b_base,cluener,affine,shared,8,True,5,61.43313362673757,3,True,"{""6100"": 61.31805157593123, ""6101"": 62.10392902408112, ""6102"": 61.184735749640744, ""6103"": 61.112006446414185, ""6104"": 61.446945337620576}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_15b_base,cluener,affine,shared,32,True,5,62.59827051911738,3,True,"{""6100"": 61.919504643962846, ""6101"": 62.843450479233226, ""6102"": 62.52164331811743, ""6103"": 62.6957223567393, ""6104"": 63.011031797534066}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_15b_base,wikisql,none,none,0,False,5,70.25390625,5,True,"{""7100"": 70.80078125, ""7101"": 69.82421875, ""7102"": 70.80078125, ""7103"": 70.703125, ""7104"": 69.140625}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_15b_base,wikisql,affine,shared,16,True,5,72.28515625,3,True,"{""7100"": 72.4609375, ""7101"": 72.94921875, ""7102"": 70.99609375, ""7103"": 73.33984375, ""7104"": 71.6796875}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_15b_base,wikisql,affine,shared,8,True,5,72.40234375,3,True,"{""7100"": 72.94921875, ""7101"": 72.36328125, ""7102"": 71.2890625, ""7103"": 73.046875, ""7104"": 72.36328125}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_15b_base,wikisql,affine,shared,32,True,5,72.48046875,3,True,"{""7100"": 72.55859375, ""7101"": 72.94921875, ""7102"": 71.09375, ""7103"": 74.12109375, ""7104"": 71.6796875}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_06b_base,cluener,none,none,0,False,5,60.8166241985942,5,True,"{""6100"": 60.476190476190474, ""6101"": 61.029759093056214, ""6102"": 61.418326693227094, ""6103"": 60.83836242048606, ""6104"": 60.32048231001111}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_06b_base,cluener,affine,shared,16,True,5,62.44115076876882,3,True,"{""6100"": 61.21546961325967, ""6101"": 62.567353407290014, ""6102"": 62.654418751979726, ""6103"": 62.66534391534392, ""6104"": 63.10316815597076}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_06b_base,cluener,affine,shared,8,True,5,61.921601746788895,3,True,"{""6100"": 61.059288537549406, ""6101"": 62.764947801328695, ""6102"": 62.35294117647059, ""6103"": 62.219286657859975, ""6104"": 61.21154456073581}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_06b_base,cluener,affine,shared,32,True,5,62.69292329694093,3,True,"{""6100"": 61.88914910226386, ""6101"": 62.76697481670386, ""6102"": 62.68277177368086, ""6103"": 63.379355687048, ""6104"": 62.746365105008074}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_06b_base,wikisql,none,none,0,False,5,70.21484375,5,True,"{""7100"": 72.55859375, ""7101"": 70.01953125, ""7102"": 70.3125, ""7103"": 68.84765625, ""7104"": 69.3359375}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_06b_base,wikisql,affine,shared,16,True,5,71.66015625,3,True,"{""7100"": 73.73046875, ""7101"": 70.8984375, ""7102"": 72.265625, ""7103"": 71.09375, ""7104"": 70.3125}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_06b_base,wikisql,affine,shared,8,True,5,71.46484375,3,True,"{""7100"": 72.8515625, ""7101"": 71.2890625, ""7102"": 71.97265625, ""7103"": 70.80078125, ""7104"": 70.41015625}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_06b_base,wikisql,affine,shared,32,True,5,71.93359375,3,True,"{""7100"": 72.75390625, ""7101"": 71.484375, ""7102"": 71.97265625, ""7103"": 71.6796875, ""7104"": 71.77734375}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,confirmation,qwen3_4b_base,wikisql,vocab,shared,1,False,5,82.63671875,0,True,"{""7300"": 82.32421875, ""7301"": 82.32421875, ""7302"": 82.91015625, ""7303"": 83.30078125, ""7304"": 82.32421875}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,llama31_8b_base,wikisql,vocab,u,1,False,5,80.76171875,0,True,"{""7100"": 81.34765625, ""7101"": 80.95703125, ""7102"": 80.078125, ""7103"": 80.6640625, ""7104"": 80.76171875}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,wikisql,vocab,eu,1,False,5,82.05078125,0,True,"{""7100"": 81.8359375, ""7101"": 82.2265625, ""7102"": 81.93359375, ""7103"": 81.4453125, ""7104"": 82.8125}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,llama31_8b_base,cluener,vocab,e,1,False,5,67.58965184865477,0,True,"{""6100"": 67.072, ""6101"": 67.86465921968593, ""6102"": 67.65943671090967, ""6103"": 67.4802110817942, ""6104"": 67.87195223088406}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,cluener,affine,e,16,False,3,69.23771491050009,0,False,"{""6100"": 68.70131934509617, ""6101"": 69.55266955266956, ""6102"": 69.45915583373456}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,wikisql,vocab,e,1,False,5,84.04296875,0,True,"{""7100"": 83.30078125, ""7101"": 83.69140625, ""7102"": 84.1796875, ""7103"": 85.15625, ""7104"": 83.88671875}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,confirmation,llama31_8b_base,cluener,affine,eu,16,True,5,71.62900546733951,0,True,"{""6300"": 71.39364303178485, ""6301"": 72.26588081204977, ""6302"": 71.83963789201422, ""6303"": 71.12462006079028, ""6304"": 71.52124554005839}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,cluener,vocab,e,1,False,5,71.46680864394585,0,True,"{""6100"": 71.58908507223114, ""6101"": 70.59393156875403, ""6102"": 71.71276079573023, ""6103"": 71.78396072013093, ""6104"": 71.65430506288294}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,confirmation,qwen3_4b_base,cluener,affine,shared,16,True,5,69.393912300155,0,True,"{""6300"": 69.08911542255836, ""6301"": 70.02461033634127, ""6302"": 69.11644618650988, ""6303"": 69.33419731086991, ""6304"": 69.40519224449557}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,cluener,vocab,e,1,False,5,70.67764204363388,0,True,"{""6100"": 70.3430586726515, ""6101"": 70.36918138041733, ""6102"": 71.01449275362319, ""6103"": 71.12179487179488, ""6104"": 70.53968253968254}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,llama31_8b_base,cluener,vocab,eu,1,False,5,67.85146432488715,0,True,"{""6100"": 66.78670813553774, ""6101"": 68.08373590982286, ""6102"": 67.66623207301173, ""6103"": 68.47952246725252, ""6104"": 68.2411230388109}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,wikisql,affine,e,16,False,3,81.54296875,0,False,"{""7100"": 81.15234375, ""7101"": 82.03125, ""7102"": 81.4453125}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,cluener,affine,e,16,False,3,71.06713336923353,0,False,"{""6100"": 71.53473344103392, ""6101"": 70.88159588159589, ""6102"": 70.78507078507079}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,subset1,qwen3_06b_base,cluener,affine,shared,16,True,3,51.30543110171363,0,False,"{""6400"": 49.4620397029853, ""6401"": 52.641783809985455, ""6402"": 51.812469792170134}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_15b_base,wikisql,vocab,shared,2,False,3,70.41015625,0,False,"{""7100"": 70.41015625, ""7101"": 70.8984375, ""7102"": 69.921875}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,subset0,qwen3_06b_base,cluener,vocab,shared,1,False,3,48.34428420724114,0,False,"{""6400"": 48.78722750997851, ""6401"": 48.32831563935985, ""6402"": 47.917309472385064}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,confirmation,llama31_8b_base,wikisql,affine,eu,16,True,5,81.6796875,0,True,"{""7300"": 81.15234375, ""7301"": 82.03125, ""7302"": 80.76171875, ""7303"": 81.8359375, ""7304"": 82.6171875}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,llama31_8b_base,wikisql,affine,eu,8,True,3,80.95703125,0,False,"{""7100"": 81.34765625, ""7101"": 80.37109375, ""7102"": 81.15234375}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_15b_base,wikisql,vocab,shared,1,False,5,71.15234375,0,True,"{""7100"": 70.703125, ""7101"": 72.16796875, ""7102"": 70.703125, ""7103"": 71.2890625, ""7104"": 70.8984375}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,llama31_8b_base,wikisql,affine,eu,32,True,3,80.82682291666667,0,False,"{""7100"": 81.25, ""7101"": 80.17578125, ""7102"": 81.0546875}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,cluener,vocab,u,1,False,5,69.63336650425575,0,True,"{""6100"": 69.12515964240102, ""6101"": 69.43238462775366, ""6102"": 70.31450577663671, ""6103"": 69.86589109710778, ""6104"": 69.42889137737961}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_15b_base,cluener,vocab,shared,2,False,3,61.411211773492546,0,False,"{""6100"": 62.6144616356173, ""6101"": 61.23882503192848, ""6102"": 60.38034865293186}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,confirmation,qwen25_7b_base,cluener,vocab,eu,1,False,5,69.93370532026518,0,True,"{""6300"": 69.01870692484411, ""6301"": 70.51344743276283, ""6302"": 69.90479264160078, ""6303"": 70.36561898652982, ""6304"": 69.86596061558828}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_4b_base,cluener,affine,shared,16,True,5,69.62725481730412,0,True,"{""6100"": 69.21962992759453, ""6101"": 69.54273711423494, ""6102"": 69.63418582065394, ""6103"": 69.7894565039987, ""6104"": 69.9502647200385}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,wikisql,vocab,u,1,False,5,81.58203125,0,True,"{""7100"": 81.54296875, ""7101"": 81.640625, ""7102"": 81.25, ""7103"": 81.93359375, ""7104"": 81.54296875}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_8b_base,wikisql,vocab,eu,1,False,5,83.984375,0,True,"{""7100"": 83.3984375, ""7101"": 83.59375, ""7102"": 84.1796875, ""7103"": 84.9609375, ""7104"": 83.7890625}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen3_06b_base,cluener,vocab,shared,2,False,3,61.14793846538811,0,False,"{""6100"": 60.551615445232464, ""6101"": 60.59922680412371, ""6102"": 62.292973146808166}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,llama31_8b_base,cluener,affine,e,16,True,5,71.3537405798879,0,True,"{""6100"": 71.16663962355996, ""6101"": 71.5590345727332, ""6102"": 70.59575147739977, ""6103"": 71.82175622542594, ""6104"": 71.62552100032062}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_15b_base,wikisql,affine,shared,16,False,3,71.64713541666667,0,False,"{""7100"": 72.0703125, ""7101"": 71.6796875, ""7102"": 71.19140625}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
